scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_2351	23.201061	15.843643	13.763142	9.289761	7.357417	9.437918	13.911299
scaffold_2352	73.924882	5.058256	39.744288	68.603077	68.866626	34.180594	5.321805
scaffold_2353	140.829972	0.871525	3.113771	6.329750	139.958447	137.716201	134.500222
scaffold_2354	88.326306	52.624617	68.819888	64.677269	35.701689	19.506417	23.649037
scaffold_2355	116.321076	91.661038	57.179782	71.545696	24.660038	59.141294	44.775380
scaffold_2356	112.155910	74.467321	62.858670	87.599443	37.688590	49.297240	24.556468
scaffold_2357	4263.150709	10.083468	18.365554	43.656428	4253.067242	4244.785156	4219.494281
scaffold_2358	nan	-0.065288	0.827289	-nan	nan	nan	nan
scaffold_2359	134.146713	37.268834	85.763126	127.093357	96.877879	48.383586	7.053356
scaffold_2360	19.862323	-1.474084	1.682336	12.320446	21.336407	18.179987	7.541877
scaffold_2361	119.342301	7.885746	53.215484	113.996008	111.456556	66.126818	5.346294
scaffold_2362	51.957883	18.023413	27.781512	38.896370	33.934469	24.176370	13.061513
scaffold_2363	2859.830697	1.398377	23.599897	37.018625	2858.432319	2836.230799	2822.812071
scaffold_2364	34.322451	2.323187	18.567672	22.200526	31.999264	15.754779	12.121925
scaffold_2365	96.290764	36.251274	68.229877	75.774624	60.039490	28.060887	20.516140
scaffold_2366	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_2367	16.978877	0.187352	5.466206	12.746923	16.791525	11.512671	4.231954
scaffold_2368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2369	101.553159	34.200605	79.252998	88.762125	67.352554	22.300162	12.791034
scaffold_2370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2371	187.330831	135.115148	94.255429	121.884731	52.215684	93.075403	65.446100
scaffold_2372	nan	-0.130577	1.654579	-nan	nan	nan	nan
scaffold_2373	-nan	-4.722758	4.031061	27.494599	-nan	-nan	-nan
scaffold_2374	16.871325	-1.332623	1.148325	9.796877	18.203947	15.722999	7.074447
scaffold_2375	81.456618	0.552970	19.355940	67.403334	80.903648	62.100678	14.053284
scaffold_2376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2377	109.373780	45.918287	62.874952	93.539629	63.455493	46.498827	15.834151
scaffold_2378	126.170713	61.604232	64.246433	93.956530	64.566480	61.924280	32.214182
scaffold_2379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2380	88.713099	-5.952640	13.255263	65.128588	94.665739	75.457836	23.584511
scaffold_2381	22.219447	-1.666283	2.067617	14.256068	23.885731	20.151831	7.963379
scaffold_2382	71.211154	7.731144	37.624300	68.980346	63.480010	33.586855	2.230808
scaffold_2383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2384	-nan	-1.726345	0.882488	9.082082	-nan	-nan	-nan
scaffold_2385	121.840191	115.183775	82.183222	65.366562	6.656416	39.656969	56.473629
scaffold_2386	29.354367	21.206983	19.834914	18.562637	8.147385	9.519453	10.791730
scaffold_2387	6354.367898	2.870560	18.461763	12699.356313	6351.497338	6335.906136	-6344.988415
scaffold_2388	37.177707	17.737426	22.178648	25.701462	19.440281	14.999059	11.476245
scaffold_2389	25.959038	14.926801	18.864049	20.012552	11.032238	7.094990	5.946486
scaffold_2390	342.558921	300.399334	245.524852	201.315829	42.159587	97.034069	141.243092
scaffold_2391	-nan	50.744151	71.531194	85.694354	-nan	-nan	-nan
scaffold_2392	nan	-0.065288	0.827289	-nan	nan	nan	nan
scaffold_2393	198.664307	25.785531	87.835111	171.396767	172.878776	110.829196	27.267540
scaffold_2394	53.451598	9.158690	31.227427	50.553953	44.292908	22.224172	2.897645
scaffold_2395	83.918048	-0.385377	29.336537	76.032980	84.303425	54.581511	7.885068
scaffold_2396	23.257385	7.611384	16.082676	9.892117	15.646002	7.174709	13.365268
scaffold_2397	166.940280	26.742690	73.404163	130.251025	140.197590	93.536117	36.689255
scaffold_2398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2399	80.933679	36.378732	60.657882	72.356787	44.554947	20.275797	8.576892
scaffold_2400	52.978974	6.019166	31.206996	32.316168	46.959808	21.771978	20.662807
scaffold_2401	262.204122	230.047749	189.384602	126.263854	32.156373	72.819520	135.940268
scaffold_2402	173.484118	43.225804	78.440883	136.757899	130.258314	95.043236	36.726219
scaffold_2403	83.505063	31.959562	67.374998	72.312135	51.545501	16.130065	11.192928
scaffold_2404	-nan	-0.276009	0.231797	2.302456	-nan	-nan	-nan
scaffold_2405	nan	-0.130577	1.654579	-nan	nan	nan	nan
scaffold_2406	17.649008	0.887551	5.655595	16.712643	16.761457	11.993413	0.936365
scaffold_2407	129.245573	93.465376	85.300008	80.374313	35.780197	43.945565	48.871260
scaffold_2408	-nan	-2.460015	5.090821	20.780668	-nan	-nan	-nan
