scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	583.622003	122.740149	408.098694	553.936562	460.881854	175.523309	29.685442
scaffold_2	614.196901	115.643552	386.532405	595.409730	498.553349	227.664496	18.787171
scaffold_3	222.340394	123.825896	154.142393	170.824033	98.514498	68.198001	51.516361
scaffold_4	187.983098	67.760368	121.289902	142.694423	120.222730	66.693197	45.288675
scaffold_5	210.868216	14.532184	80.179259	196.505654	196.336032	130.688957	14.362562
scaffold_6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_7	174.759341	24.668307	58.547493	122.644921	150.091033	116.211848	52.114419
scaffold_8	275.871663	80.394026	168.171975	228.898927	195.477637	107.699688	46.972736
scaffold_9	278.354992	63.559431	94.098926	219.727950	214.795560	184.256066	58.627041
scaffold_10	357.948677	38.562209	125.643495	316.643666	319.386468	232.305183	41.305011
scaffold_11	38.932595	7.781502	9.814629	24.374957	31.151093	29.117966	14.557638
scaffold_12	169.309253	68.218055	114.078510	150.447048	101.091198	55.230743	18.862205
scaffold_13	236.036818	162.000273	189.341881	85.307079	74.036546	46.694938	150.729739
scaffold_14	74.157534	8.642581	30.907401	61.087094	65.514953	43.250133	13.070440
scaffold_15	73.723010	19.430068	34.521905	68.916311	54.292942	39.201105	4.806700
scaffold_16	243.236410	38.070048	146.187486	234.587507	205.166362	97.048924	8.648904
scaffold_17	117.100176	48.226204	74.239028	67.136687	68.873971	42.861148	49.963489
scaffold_18	291.925746	94.841509	221.240904	263.280182	197.084238	70.684843	28.645565
scaffold_19	293.418309	123.946532	124.566599	175.641831	169.471777	168.851710	117.776478
scaffold_20	209.066277	61.926731	117.995429	180.298525	147.139546	91.070848	28.767752
scaffold_21	194.261499	62.792121	146.929779	123.901090	131.469378	47.331720	70.360409
scaffold_22	283.676359	50.448068	102.311931	234.051382	233.228291	181.364428	49.624977
scaffold_23	93.324388	24.625193	43.484318	81.263618	68.699195	49.840070	12.060770
scaffold_24	282.080181	26.764206	155.256719	175.990279	255.315975	126.823462	106.089902
scaffold_25	235.835571	224.083228	107.928415	131.500430	11.752343	127.907156	104.335141
scaffold_26	147.042428	61.209033	79.477028	122.063560	85.833395	67.565400	24.978868
