scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_287	552.218546	522.365256	259.868842	290.609432	29.853290	292.349705	261.609115
scaffold_288	29.894254	0.624550	13.176381	27.575568	29.269704	16.717873	2.318685
scaffold_289	430.456679	403.110685	276.125965	228.535176	27.345994	154.330715	201.921504
scaffold_290	371.976010	-1.770996	2.499390	13.673004	373.747006	369.476620	358.303006
scaffold_291	582.991937	141.256078	430.968482	489.863132	441.735860	152.023455	93.128805
scaffold_292	nan	-0.393792	0.152001	353.534609	nan	nan	nan
scaffold_293	749.060910	636.745686	305.370652	455.714663	112.315224	443.690258	293.346247
scaffold_294	485.043089	425.291985	348.544945	278.568199	59.751104	136.498144	206.474890
scaffold_295	101.361307	12.979576	54.296646	97.201621	88.381731	47.064662	4.159687
scaffold_296	149.258493	86.190807	125.091099	118.882695	63.067686	24.167394	30.375798
scaffold_297	150.568061	6.232880	65.298151	140.261757	144.335181	85.269909	10.306304
scaffold_298	193.697323	10.079740	78.390023	184.381469	183.617583	115.307300	9.315854
scaffold_299	521.396065	510.853529	220.572634	270.849203	10.542536	300.823431	250.546862
scaffold_300	675.215955	644.863459	475.944439	353.497519	30.352496	199.271515	321.718436
scaffold_301	1331.141329	1292.515720	760.800982	709.399487	38.625609	570.340347	621.741842
scaffold_302	419.517875	236.959241	203.798888	289.356815	182.558633	215.718987	130.161059
scaffold_303	381.776894	311.258628	245.005789	209.629210	70.518267	136.771105	172.147684
scaffold_304	1121.580497	895.556362	726.390897	702.430572	226.024135	395.189600	419.149925
scaffold_305	607.173172	560.875124	259.611431	338.985983	46.298048	347.561741	268.187189
scaffold_306	319.880767	298.454902	191.510597	168.918500	21.425865	128.370170	150.962267
scaffold_307	77.175495	9.489869	46.737136	75.069863	67.685626	30.438359	2.105632
scaffold_308	536.161525	493.978506	362.712464	307.742572	42.183020	173.449062	228.418953
scaffold_309	221.033552	148.191740	126.112301	166.987919	72.841813	94.921251	54.045633
scaffold_310	721.686692	704.853567	348.982541	372.562226	16.833125	372.704150	349.124466
scaffold_311	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_312	248.216984	192.522692	120.218273	128.108588	55.694292	127.998710	120.108396
scaffold_313	513.620178	511.410812	231.708400	258.986602	2.209366	281.911778	254.633576
scaffold_314	473.625063	427.489785	193.568561	260.047712	46.135278	280.056501	213.577351
scaffold_315	344.909704	295.212535	247.725648	182.371638	49.697169	97.184056	162.538066
scaffold_316	824.620211	766.087439	428.187899	425.093881	58.532772	396.432312	399.526330
scaffold_317	581.314798	545.362596	302.420305	317.047770	35.952202	278.894492	264.267027
scaffold_318	610.230282	586.361984	389.344747	330.890172	23.868297	220.885534	279.340110
scaffold_319	40.258681	27.432773	26.411736	30.225778	12.825908	13.846945	10.032903
scaffold_320	287.058782	243.455322	114.793530	168.105987	43.603461	172.265253	118.952795
scaffold_321	594.231053	517.803602	345.774196	311.376537	76.427451	248.456857	282.854516
scaffold_322	392.463569	299.139649	223.393462	226.417380	93.323920	169.070107	166.046188
scaffold_323	399.852197	348.905315	244.714827	220.668582	50.946882	155.137370	179.183616
scaffold_324	252.858463	129.414727	114.203411	191.331309	123.443737	138.655052	61.527155
scaffold_325	832.874514	739.556795	458.008996	397.782283	93.317719	374.865518	435.092231
scaffold_326	617.862658	580.541591	285.068885	336.672190	37.321067	332.793773	281.190468
scaffold_327	232.013781	67.632610	119.520814	215.321849	164.381171	112.492967	16.691932
scaffold_328	296.817704	72.873342	166.000535	208.056608	223.944362	130.817169	88.761096
scaffold_329	80.708323	1.262065	35.491578	74.003003	79.446257	45.216744	6.705319
scaffold_330	715.415634	713.887184	309.312382	371.283994	1.528451	406.103252	344.131640
scaffold_331	2726.568201	2623.531921	1255.351382	1445.362268	103.036280	1471.216819	1281.205933
scaffold_332	1189.612714	1102.754024	837.502042	671.690234	86.858691	352.110672	517.922481
scaffold_333	683.707186	534.208900	347.753859	389.904600	149.498286	335.953327	293.802586
scaffold_334	1088.003344	911.282278	635.121424	615.290766	176.721066	452.881920	472.712579
scaffold_335	255.844895	244.650873	152.452902	131.985729	11.194022	103.391993	123.859166
scaffold_336	814.977322	16.332843	80.435636	84.157941	798.644479	734.541685	730.819381
scaffold_337	585.107087	574.471695	283.251454	304.958003	10.635392	301.855633	280.149083
scaffold_338	713.570154	648.432141	506.037832	376.918094	65.138012	207.532322	336.652060
scaffold_339	523.665502	516.844615	239.029689	276.781874	6.820887	284.635814	246.883629
scaffold_340	312.403094	247.949247	146.906666	176.926799	64.453848	165.496428	135.476296
scaffold_341	103.524489	28.941312	49.076846	88.689137	74.583177	54.447643	14.835352
scaffold_342	139.475551	109.822008	91.742667	100.002973	29.653543	47.732884	39.472579
scaffold_343	1156.494620	1144.198120	603.460389	618.817077	12.296500	553.034231	537.677543
scaffold_344	475.450453	446.302691	326.641349	254.734200	29.147762	148.809104	220.716253
scaffold_345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_346	1321.922522	1263.555481	696.722117	725.027312	58.367041	625.200405	596.895210
scaffold_347	841.790968	361.538789	752.661891	691.306931	480.252179	89.129076	150.484036
scaffold_348	30.460401	-0.227768	10.067442	23.427847	30.688168	20.392959	7.032553
scaffold_349	264.961012	61.152685	146.968868	257.399891	203.808327	117.992143	7.561121
scaffold_350	338.292173	286.214692	155.026801	187.665926	52.077481	183.265371	150.626247
scaffold_351	263.098060	220.915819	123.418146	164.412819	42.182241	139.679915	98.685242
scaffold_352	587.842884	571.358417	298.153256	305.763964	16.484467	289.689628	282.078920
scaffold_353	355.949724	261.869585	239.436638	242.671842	94.080139	116.513086	113.277882
scaffold_354	472.015216	350.104094	303.181070	270.278197	121.911122	168.834147	201.737020
scaffold_355	458.390719	320.369559	320.010967	323.447975	138.021161	138.379753	134.942744
scaffold_356	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_357	285.161917	122.756250	117.724569	266.318900	162.405667	167.437348	18.843017
scaffold_358	492.596885	446.139516	247.570840	267.917386	46.457369	245.026046	224.679499
scaffold_359	558.305790	405.925641	353.420930	356.101849	152.380149	204.884860	202.203942
scaffold_360	421.141431	418.583992	182.646695	218.398320	2.557438	238.494736	202.743111
scaffold_361	415.237351	386.554065	204.827822	216.197759	28.683286	210.409529	199.039592
scaffold_362	621.621645	521.036583	342.564655	328.004434	100.585062	279.056990	293.617212
scaffold_363	602.297314	565.416553	290.979900	312.329348	36.880761	311.317414	289.967966
scaffold_364	825.869137	819.663419	347.579395	435.995954	6.205718	478.289742	389.873183
scaffold_365	274.825352	207.565095	174.137108	153.259282	67.260257	100.688244	121.566070
scaffold_366	63.353969	6.676573	22.983662	56.906080	56.677397	40.370307	6.447889
scaffold_367	412.648055	407.050038	227.314228	217.555788	5.598017	185.333826	195.092267
scaffold_368	453.945402	374.482636	249.125931	248.442644	79.462767	204.819472	205.502759
scaffold_369	581.815299	559.866769	247.306214	339.067546	21.948530	334.509086	242.747753
scaffold_370	428.474159	382.132203	187.267627	224.100115	46.341956	241.206532	204.374044
scaffold_371	813.629878	777.017734	465.107512	470.266150	36.612143	348.522365	343.363728
scaffold_372	576.982976	509.619000	262.569730	346.512482	67.363976	314.413247	230.470495
scaffold_373	891.121620	851.834242	372.262596	503.314472	39.287378	518.859023	387.807147
scaffold_374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_375	179.773221	16.697349	82.131789	170.463377	163.075872	97.641431	9.309843
scaffold_376	78.478283	25.876756	44.703650	71.397330	52.601527	33.774633	7.080953
scaffold_377	109.321003	68.131594	97.703346	55.896096	41.189409	11.617657	53.424907
scaffold_378	74.541585	14.460636	30.273535	57.469337	60.080949	44.268050	17.072248
scaffold_379	285.730436	269.960871	163.900032	134.642812	15.769565	121.830404	151.087624
scaffold_380	172.573542	28.968186	110.954839	162.282713	143.605356	61.618703	10.290829
scaffold_381	519.483590	491.946362	269.061965	273.111018	27.537228	250.421626	246.372573
scaffold_382	278.595818	237.691055	141.670367	166.517045	40.904763	136.925451	112.078773
scaffold_383	860.898390	782.894995	390.597242	465.391214	78.003395	470.301148	395.507176
scaffold_384	494.902409	483.015714	276.750290	273.642427	11.886695	218.152119	221.259982
scaffold_385	127.283704	-8.136201	13.633962	82.748444	135.419905	113.649743	44.535260
scaffold_386	580.322231	455.737445	423.847667	366.206380	124.584786	156.474564	214.115851
scaffold_387	72.461798	12.676476	27.755963	44.681966	59.785321	44.705834	27.779832
scaffold_388	22.472480	15.583286	21.987443	14.818482	6.889194	0.485037	7.653998
scaffold_389	211.360537	27.224236	122.198594	151.667779	184.136302	89.161943	59.692758
scaffold_390	492.230389	482.194502	244.785827	261.387394	10.035887	247.444562	230.842995
scaffold_391	920.967601	899.893694	428.159517	497.554376	21.073907	492.808084	423.413226
scaffold_392	762.130912	721.404410	431.804402	420.498448	40.726502	330.326510	341.632464
scaffold_393	296.090271	271.765631	139.258940	140.155302	24.324640	156.831332	155.934969
scaffold_394	2876.584824	2794.606003	1554.380093	1415.429372	81.978821	1322.204731	1461.155452
scaffold_395	428.200183	397.200560	277.535944	246.616987	30.999623	150.664238	181.583195
scaffold_396	521.300496	487.294931	193.958353	294.251314	34.005566	327.342143	227.049182
scaffold_397	661.691912	581.992126	335.893876	349.311879	79.699786	325.798036	312.380033
scaffold_398	592.650287	86.867168	354.323282	577.668731	505.783120	238.327005	14.981557
scaffold_399	29.032559	8.893860	11.988899	9.649755	20.138698	17.043659	19.382804
scaffold_400	101.097525	15.847109	77.304917	60.052694	85.250416	23.792609	41.044831
scaffold_401	1013.911451	947.926741	586.691438	558.326575	65.984710	427.220013	455.584876
scaffold_402	529.605597	518.965393	214.558146	283.979932	10.640204	315.047451	245.625665
scaffold_403	593.474951	320.469614	549.561007	323.090668	273.005337	43.913944	270.384283
scaffold_404	725.660579	-1.968294	2.011981	9.937224	727.628873	723.648597	715.723355
scaffold_405	711.442743	0.990420	2.456817	709.860228	710.452323	708.985926	1.582515
scaffold_406	275.104578	264.458589	153.260707	138.957265	10.645988	121.843871	136.147313
scaffold_407	330.930841	325.771530	133.863793	185.153927	5.159312	197.067049	145.776914
scaffold_408	150.123124	51.281783	86.103638	131.273572	98.841340	64.019485	18.849552
scaffold_409	563.908384	449.826218	258.943597	313.548806	114.082165	304.964787	250.359578
scaffold_410	345.317147	228.192056	183.518370	164.736350	117.125090	161.798777	180.580797
scaffold_411	342.122693	57.413999	228.040325	328.437480	284.708694	114.082368	13.685213
scaffold_412	-nan	-0.239311	0.327493	2.673262	-nan	-nan	-nan
scaffold_413	89.801849	11.198427	52.809727	80.923129	78.603421	36.992122	8.878720
scaffold_414	30.212197	-1.408987	6.849062	24.309949	31.621184	23.363135	5.902248
scaffold_415	300.591057	263.121636	136.627543	162.512479	37.469421	163.963514	138.078578
scaffold_416	42.969187	15.109417	27.631803	38.951928	27.859770	15.337384	4.017259
scaffold_417	372.577834	-1.596769	2.215127	11.557614	374.174603	370.362707	361.020219
scaffold_418	393.019379	291.769998	195.881756	206.828035	101.249381	197.137623	186.191344
scaffold_419	721.484980	670.746897	462.933634	388.158167	50.738083	258.551346	333.326813
scaffold_420	88.619885	32.234999	54.392903	67.856042	56.384886	34.226982	20.763843
scaffold_421	-nan	-1.607942	1.267678	10.561693	-nan	-nan	-nan
scaffold_422	488.705181	488.521683	183.000558	251.804791	0.183498	305.704624	236.900391
scaffold_423	625.518017	601.762229	417.418287	312.041745	23.755788	208.099730	313.476272
