scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
JASJQH010006545.1	361.744070	0.005332	1.882412	3.492535	361.738738	359.861658	358.251535
JASJQH010006546.1	nan	-0.261153	3.309157	-nan	nan	nan	nan
JASJQH010006547.1	19.710021	-1.556029	2.239738	13.311469	21.266050	17.470283	6.398552
JASJQH010006548.1	nan	-0.950633	5.126165	4948.169972	nan	nan	nan
JASJQH010006549.1	48.083297	37.456867	20.177274	25.938501	10.626430	27.906023	22.144796
JASJQH010006550.1	366.617163	0.745770	6.516498	11.425931	365.871393	360.100665	355.191232
JASJQH010006551.1	-nan	-4.046240	1.231710	17.252680	-nan	-nan	-nan
JASJQH010006552.1	25.022786	7.087740	12.234513	21.225299	17.935046	12.788274	3.797487
JASJQH010006553.1	-nan	-0.093730	6.086349	14.228674	-nan	-nan	-nan
JASJQH010006554.1	279.913572	0.549199	6.125418	12.392921	279.364373	273.788154	267.520651
JASJQH010006555.1	61.710601	36.048915	48.075464	41.876173	25.661686	13.635137	19.834428
JASJQH010006556.1	7.415529	-0.365662	1.659222	5.679874	7.781191	5.756307	1.735655
JASJQH010006557.1	61.142072	-5.843825	3.570054	33.884656	66.985897	57.572018	27.257416
JASJQH010006558.1	369.268428	-1.117154	3.327556	12.755851	370.385582	365.940872	356.512577
JASJQH010006559.1	59.285588	18.190894	31.557380	40.466867	41.094693	27.728207	18.818720
JASJQH010006560.1	13.203529	1.491543	8.040469	12.672471	11.711986	5.163060	0.531058
JASJQH010006561.1	22.808485	-0.956318	5.693179	15.501781	23.764803	17.115307	7.306704
JASJQH010006562.1	75.910389	5.432967	19.770427	48.613024	70.477422	56.139962	27.297365
JASJQH010006563.1	19.994992	11.927043	7.038782	8.931557	8.067948	12.956209	11.063434
JASJQH010006564.1	34.485320	5.617275	19.368796	33.612521	28.868045	15.116524	0.872799
JASJQH010006565.1	6.307175	-0.528278	0.458268	3.777417	6.835453	5.848907	2.529758
JASJQH010006566.1	15.083430	8.344878	12.252503	9.198624	6.738552	2.830927	5.884806
JASJQH010006567.1	709.208186	0.455227	0.556204	1.610996	708.752958	708.651982	707.597190
JASJQH010006568.1	-nan	-7.860659	-2.010459	24.586799	-nan	-nan	-nan
JASJQH010006569.1	-nan	-3.772121	0.487860	16.911924	-nan	-nan	-nan
