chrom	length	bases	mean	min	max
scaffold_1057	23945	638230	26.65	0	273
scaffold_1057_region	2125	46776	22.01	9	38
scaffold_1058	23892	502182	21.02	0	150
scaffold_1058_region	0	0	0.00	0	0
scaffold_1059	23852	655205	27.47	0	261
scaffold_1059_region	0	0	0.00	0	0
scaffold_1060	23848	390335	16.37	0	33
scaffold_1060_region	0	0	0.00	0	0
scaffold_1061	23749	695808	29.30	2	90
scaffold_1061_region	3008	52312	17.39	4	40
scaffold_1062	23684	418309	17.66	0	73
scaffold_1062_region	0	0	0.00	0	0
scaffold_1063	23673	999039	42.20	0	141
scaffold_1063_region	2929	134944	46.07	0	115
scaffold_1064	23632	655109	27.72	1	103
scaffold_1064_region	8865	220440	24.87	7	103
scaffold_1065	23620	637179	26.98	0	46
scaffold_1065_region	770	19001	24.68	7	36
scaffold_1066	23617	456120	19.31	5	69
scaffold_1066_region	4206	91813	21.83	10	40
scaffold_1067	23592	603528	25.58	0	95
scaffold_1067_region	0	0	0.00	0	0
scaffold_1068	23581	453671	19.24	4	94
scaffold_1068_region	7594	149751	19.72	4	42
scaffold_1069	23540	473497	20.11	0	52
scaffold_1069_region	523	14173	27.10	19	32
scaffold_1070	23529	435872	18.52	1	56
scaffold_1070_region	6199	124782	20.13	6	37
scaffold_1071	23408	790518	33.77	3	63
scaffold_1071_region	14020	516097	36.81	12	63
scaffold_1072	23349	643888	27.58	0	126
scaffold_1072_region	0	0	0.00	0	0
scaffold_1073	23292	502895	21.59	0	52
scaffold_1073_region	3595	78277	21.77	7	38
scaffold_1074	23266	773169	33.23	0	126
scaffold_1074_region	0	0	0.00	0	0
scaffold_1075	23253	440177	18.93	0	91
scaffold_1075_region	0	0	0.00	0	0
scaffold_1076	23239	568992	24.48	0	131
scaffold_1076_region	10016	173729	17.35	0	32
scaffold_1077	23197	388645	16.75	0	47
scaffold_1077_region	3878	55253	14.25	1	32
scaffold_1078	23180	587331	25.34	0	96
scaffold_1078_region	5640	156238	27.70	0	61
scaffold_1079	23124	450533	19.48	0	100
scaffold_1079_region	3002	59992	19.98	1	36
scaffold_1080	23097	621665	26.92	0	109
scaffold_1080_region	0	0	0.00	0	0
scaffold_1081	23067	1504514	65.22	0	192
scaffold_1081_region	2290	164154	71.68	26	132
scaffold_1082	23043	799024	34.68	0	103
scaffold_1082_region	4151	200985	48.42	16	85
scaffold_1083	23043	424173	18.41	0	164
scaffold_1083_region	0	0	0.00	0	0
scaffold_1084	23035	1130757	49.09	0	116
scaffold_1084_region	3051	160749	52.69	6	82
scaffold_1085	22973	630109	27.43	0	76
scaffold_1085_region	5136	120311	23.43	4	41
scaffold_1086	22950	435997	19.00	2	42
scaffold_1086_region	13399	250157	18.67	2	37
scaffold_1087	22910	664798	29.02	0	89
scaffold_1087_region	0	0	0.00	0	0
scaffold_1088	22813	430170	18.86	0	134
scaffold_1088_region	0	0	0.00	0	0
scaffold_1089	22775	439968	19.32	6	38
scaffold_1089_region	11503	224726	19.54	6	35
scaffold_1090	22712	442290	19.47	0	49
scaffold_1090_region	0	0	0.00	0	0
scaffold_1091	22699	635502	28.00	0	105
scaffold_1091_region	6990	162881	23.30	10	46
scaffold_1092	22694	395021	17.41	2	75
scaffold_1092_region	0	0	0.00	0	0
scaffold_1093	22646	426636	18.84	6	53
scaffold_1093_region	9395	177183	18.86	6	37
scaffold_1094	22537	573783	25.46	0	87
scaffold_1094_region	0	0	0.00	0	0
scaffold_1095	22474	357598	15.91	0	104
scaffold_1095_region	0	0	0.00	0	0
scaffold_1096	22428	709308	31.63	0	90
scaffold_1096_region	161	6706	41.65	7	73
scaffold_1097	22419	570317	25.44	0	59
scaffold_1097_region	2681	65303	24.36	9	37
scaffold_1098	22400	626973	27.99	0	329
scaffold_1098_region	3054	46392	15.19	5	31
scaffold_1099	22365	387004	17.30	0	42
scaffold_1099_region	10138	164395	16.22	0	34
scaffold_1100	22355	552701	24.72	0	170
scaffold_1100_region	0	0	0.00	0	0
scaffold_1101	22330	595343	26.66	0	111
scaffold_1101_region	608	6886	11.33	5	20
scaffold_1102	22321	1053390	47.19	0	155
scaffold_1102_region	233	7078	30.38	22	40
scaffold_1103	22250	651308	29.27	5	124
scaffold_1103_region	5578	152115	27.27	13	45
scaffold_1104	22214	696923	31.37	0	119
scaffold_1104_region	0	0	0.00	0	0
scaffold_1105	22200	523344	23.57	0	94
scaffold_1105_region	0	0	0.00	0	0
scaffold_1106	22134	493633	22.30	0	94
scaffold_1106_region	0	0	0.00	0	0
scaffold_1107	22133	508517	22.98	0	159
scaffold_1107_region	0	0	0.00	0	0
scaffold_1108	22126	415166	18.76	0	39
scaffold_1108_region	6131	113619	18.53	4	33
scaffold_1109	22111	390967	17.68	4	42
scaffold_1109_region	8560	163243	19.07	6	36
scaffold_1110	22106	540096	24.43	0	69
scaffold_1110_region	3654	68980	18.88	0	31
scaffold_1111	22058	609979	27.65	0	154
scaffold_1111_region	0	0	0.00	0	0
scaffold_1112	22021	304796	13.84	0	44
scaffold_1112_region	0	0	0.00	0	0
scaffold_1113	21996	561008	25.51	0	137
scaffold_1113_region	0	0	0.00	0	0
scaffold_1114	21957	569431	25.93	4	152
scaffold_1114_region	2228	41245	18.51	7	31
scaffold_1115	21951	545236	24.84	0	86
scaffold_1115_region	81	1920	23.70	12	37
scaffold_1116	21784	508048	23.32	0	161
scaffold_1116_region	1841	32881	17.86	5	41
scaffold_1117	21769	815507	37.46	7	181
scaffold_1117_region	7725	186000	24.08	7	44
scaffold_1118	21768	583334	26.80	0	173
scaffold_1118_region	8235	182916	22.21	9	49
scaffold_1119	21735	456074	20.98	6	45
scaffold_1119_region	9064	203733	22.48	7	42
scaffold_1120	21717	621660	28.63	0	205
scaffold_1120_region	0	0	0.00	0	0
scaffold_1121	21713	937971	43.20	1	206
scaffold_1121_region	0	0	0.00	0	0
scaffold_1122	21673	820227	37.85	0	266
scaffold_1122_region	0	0	0.00	0	0
scaffold_1123	21557	853709	39.60	0	562
scaffold_1123_region	0	0	0.00	0	0
scaffold_1124	21528	550186	25.56	0	85
scaffold_1124_region	9044	185761	20.54	0	38
scaffold_1125	21421	588676	27.48	0	130
scaffold_1125_region	365	7467	20.46	11	29
scaffold_1126	21325	21385717	1002.85	0	1942
scaffold_1126_region	890	1263368	1419.51	1142	1752
scaffold_1127	21311	609003	28.58	0	97
scaffold_1127_region	0	0	0.00	0	0
scaffold_1128	21272	580070	27.27	0	87
scaffold_1128_region	6914	157606	22.80	8	42
scaffold_1129	21255	386417	18.18	4	37
scaffold_1129_region	7169	138796	19.36	6	37
scaffold_1130	21211	595362	28.07	0	225
scaffold_1130_region	0	0	0.00	0	0
scaffold_1131	21210	581462	27.41	3	167
scaffold_1131_region	4442	97842	22.03	9	39
scaffold_1132	21171	327034	15.45	0	48
scaffold_1132_region	2879	54355	18.88	5	35
scaffold_1133	21090	371078	17.59	4	56
scaffold_1133_region	5069	89266	17.61	4	33
scaffold_1134	21003	503562	23.98	0	133
scaffold_1134_region	6112	128393	21.01	10	37
scaffold_1135	20911	429456	20.54	0	174
scaffold_1135_region	0	0	0.00	0	0
scaffold_1136	20869	38371547	1838.69	0	5130
scaffold_1136_region	0	0	0.00	0	0
scaffold_1137	20857	342805	16.44	0	48
scaffold_1137_region	1097	19821	18.07	5	31
scaffold_1138	20840	815165	39.12	0	316
scaffold_1138_region	0	0	0.00	0	0
scaffold_1139	20811	418017	20.09	5	77
scaffold_1139_region	7055	137493	19.49	5	45
scaffold_1140	20765	578814	27.87	0	92
scaffold_1140_region	2485	52722	21.22	10	36
scaffold_1141	20689	554294	26.79	0	82
scaffold_1141_region	10279	230318	22.41	1	38
scaffold_1142	20658	554898	26.86	0	256
scaffold_1142_region	0	0	0.00	0	0
scaffold_1143	20637	361973	17.54	0	65
scaffold_1143_region	5409	81610	15.09	0	30
scaffold_1144	20589	299007	14.52	0	188
scaffold_1144_region	0	0	0.00	0	0
scaffold_1145	20522	445676	21.72	0	68
scaffold_1145_region	2145	54610	25.46	10	47
scaffold_1146	20485	283393	13.83	0	58
scaffold_1146_region	0	0	0.00	0	0
scaffold_1147	20476	474725	23.18	0	68
scaffold_1147_region	0	0	0.00	0	0
scaffold_1148	20466	588576	28.76	0	169
scaffold_1148_region	0	0	0.00	0	0
